,fwy,dir,link,from_node,to_node,geometry,vds,Cluster_Labels,geometry_station
16,I105,E,38329782_0,148811042,452589525,"LINESTRING (1969032.2215411814 547175.3813171776, 1969757.684943568 547191.9605989774)",716414,5,POINT (1968973.5109222678 547185.8376269324)
17,I105,E,38329777_0,452589525,206191519,"LINESTRING (1969757.684943568 547191.9605989774, 1969854.5402399048 547198.7562143728)",716414,5,POINT (1968973.5109222678 547185.8376269324)
18,I105,E,38329778_0,206191519,4013050931,"LINESTRING (1969854.5402399048 547198.7562143728, 1969911.338005771 547202.6985612807)",716419,13,POINT (1971049.0648068015 547215.4131722886)
19,I105,E,38329778_1,4013050931,206191520,"LINESTRING (1969911.338005771 547202.6985612807, 1970411.7814081758 547226.9817336851)",716419,13,POINT (1971049.0648068015 547215.4131722886)
20,I105,E,38329778_2,206191520,3942494180,"LINESTRING (1970411.7814081758 547226.9817336851, 1970613.083510213 547223.592163496)",716419,13,POINT (1971049.0648068015 547215.4131722886)
21,I105,E,391090585_0,3942494180,8077042851,"LINESTRING (1970613.083510213 547223.592163496, 1971985.425693833 547374.3490462459)",716424,2,POINT (1972774.8047346135 547563.602782375)
22,I105,E,866560181_0,8077042851,306267185,"LINESTRING (1971985.425693833 547374.3490462459, 1972556.1371339678 547526.8865922163)",716424,2,POINT (1972774.8047346135 547563.602782375)
23,I105,E,866560180_0,306267185,1922406190,"LINESTRING (1972556.1371339678 547526.8865922163, 1973067.3297547624 547571.1030983585)",716424,2,POINT (1972774.8047346135 547563.602782375)
24,I105,E,391430317_0,1922406190,306267193,"LINESTRING (1973067.3297547624 547571.1030983585, 1973186.0437879718 547573.7991719648)",716424,2,POINT (1972774.8047346135 547563.602782375)
25,I105,E,391430316_0,306267193,306267195,"LINESTRING (1973186.0437879718 547573.7991719648, 1973438.7536053748 547568.6365631982)",774614,2,POINT (1973737.2801898306 547566.8231771454)
26,I105,E,27894701_0,306267195,306267217,"LINESTRING (1973438.7536053748 547568.6365631982, 1973484.0145163084 547568.4296782551)",774614,2,POINT (1973737.2801898306 547566.8231771454)
27,I105,E,27894702_0,306267217,306267281,"LINESTRING (1973484.0145163084 547568.4296782551, 1973830.4115827344 547567.1372871457)",774614,2,POINT (1973737.2801898306 547566.8231771454)
28,I105,E,27894725_0,306267281,306267771,"LINESTRING (1973830.4115827344 547567.1372871457, 1974035.4067769558 547567.4386456466)",774614,2,POINT (1973737.2801898306 547566.8231771454)
29,I105,E,27894725_1,306267771,306267774,"LINESTRING (1974035.4067769558 547567.4386456466, 1974145.5503209839 547567.2757986684)",765476,9,POINT (1974298.42631651 547558.7099496146)
30,I105,E,27894731_0,306267774,306268028,"LINESTRING (1974145.5503209839 547567.2757986684, 1974252.2425910009 547566.2697009022)",765476,9,POINT (1974298.42631651 547558.7099496146)
31,I105,E,27894733_0,306268028,306267997,"LINESTRING (1974252.2425910009 547566.2697009022, 1974314.1363477146 547562.1495399905)",765476,9,POINT (1974298.42631651 547558.7099496146)
32,I105,E,27894730_0,306267997,306267886,"LINESTRING (1974314.1363477146 547562.1495399905, 1974639.557855832 547504.9063864669)",716427,5,POINT (1974697.4344473968 547499.0471390208)
33,I105,E,27894728_0,306267886,306267861,"LINESTRING (1974639.557855832 547504.9063864669, 1974704.351194877 547488.9785776526)",716427,5,POINT (1974697.4344473968 547499.0471390208)
34,I105,E,27894689_0,306267861,23964236,"LINESTRING (1974704.351194877 547488.9785776526, 1975045.244811933 547434.3031689313)",716427,5,POINT (1974697.4344473968 547499.0471390208)
